device_timestamp_us,host_timestamp_utc,event_type,detector,state,envelope_voltage,marker_id,phase,trial,prescribed_intensity,message
6284843387,2026-09-17T09:07:09.237767+00:00,CONTRACTION_START,adaptive,ACTIVE,0.06273622131347656,,,,,
6285008996,2026-09-17T09:07:09.406270+00:00,PHASE_MARKER,system,,,79,contract,7,strong,
6285117255,2026-09-17T09:07:09.499975+00:00,CONTRACTION_RELEASE,adaptive,REFRACTORY,0.022913616180419923,,,,,
6285162721,2026-09-17T09:07:09.544281+00:00,CONTRACTION_RELEASE,fixed,REFRACTORY,0.01070665454864502,,,,,
6285518497,2026-09-17T09:07:09.914577+00:00,CONTRACTION_START,adaptive,ACTIVE,0.14412911987304688,,,,,
6285563297,2026-09-17T09:07:09.944170+00:00,CONTRACTION_START,fixed,ACTIVE,0.08725296020507813,,,,,
6285862731,2026-09-17T09:07:10.244965+00:00,CONTRACTION_RELEASE,adaptive,REFRACTORY,0.01801137161254883,,,,,
6286205840,2026-09-17T09:07:10.593311+00:00,CONTRACTION_RELEASE,fixed,REFRACTORY,0.022125823974609375,,,,,
6287020967,2026-09-17T09:07:11.417969+00:00,PHASE_MARKER,system,,,80,rest,7,strong,
6290010124,2026-09-17T09:07:14.401172+00:00,PHASE_MARKER,system,,,81,prepare,8,medium,
6290605462,2026-09-17T09:07:14.987120+00:00,CONTRACTION_START,fixed,ACTIVE,0.08069057464599609,,,,,
6290615914,2026-09-17T09:07:14.997063+00:00,CONTRACTION_START,adaptive,ACTIVE,0.07482770538330079,,,,,
6291634723,2026-09-17T09:07:16.018459+00:00,CONTRACTION_RELEASE,adaptive,REFRACTORY,0.020688941955566406,,,,,
6291651008,2026-09-17T09:07:16.032182+00:00,CONTRACTION_RELEASE,fixed,REFRACTORY,0.020799156188964843,,,,,
6293095955,2026-09-17T09:07:17.482022+00:00,PHASE_MARKER,system,,,82,contract,8,medium,
6294560820,2026-09-17T09:07:18.941666+00:00,CONTRACTION_START,fixed,ACTIVE,1.2243538818359376,,,,,
6294563193,2026-09-17T09:07:18.958590+00:00,CONTRACTION_START,adaptive,ACTIVE,1.2431248779296875,,,,,
6295079632,2026-09-17T09:07:19.465957+00:00,PHASE_MARKER,system,,,83,rest,8,medium,
6295553505,2026-09-17T09:07:19.941963+00:00,CONTRACTION_RELEASE,adaptive,REFRACTORY,0.01808885955810547,,,,,
6295573279,2026-09-17T09:07:19.954142+00:00,CONTRACTION_RELEASE,fixed,REFRACTORY,0.017637134552001953,,,,,
6298083277,2026-09-17T09:07:22.471867+00:00,PHASE_MARKER,system,,,84,prepare,9,medium,
6301135794,2026-09-17T09:07:25.529787+00:00,PHASE_MARKER,system,,,85,contract,9,medium,
6302363981,2026-09-17T09:07:26.744613+00:00,CONTRACTION_START,fixed,ACTIVE,0.14945140075683594,,,,,
6302366895,2026-09-17T09:07:26.773371+00:00,CONTRACTION_START,adaptive,ACTIVE,0.25587030029296876,,,,,
6303133911,2026-09-17T09:07:27.517872+00:00,CONTRACTION_RELEASE,adaptive,REFRACTORY,0.019686681747436523,,,,,
6303223731,2026-09-17T09:07:27.610380+00:00,PHASE_MARKER,system,,,86,rest,9,medium,
6303293873,2026-09-17T09:07:27.674049+00:00,CONTRACTION_RELEASE,fixed,REFRACTORY,0.018679874420166016,,,,,
6306280002,2026-09-17T09:07:30.665263+00:00,PHASE_MARKER,system,,,87,prepare,10,weak,
6309335708,2026-09-17T09:07:33.725004+00:00,PHASE_MARKER,system,,,88,contract,10,weak,
6309562699,2026-09-17T09:07:33.948056+00:00,CONTRACTION_START,fixed,ACTIVE,0.0613336410522461,,,,,
6309563928,2026-09-17T09:07:33.956660+00:00,CONTRACTION_START,adaptive,ACTIVE,0.05532175827026367,,,,,
